ID_pop	group	species	Country	nt	Latitude	Longitude	Alt
ASM	Alloteropsis	A.semialata	SouthAfrica	I	-25.61	29.73	1731
AUS_African_ms	Alloteropsis	A.semialata	Australia	IV	-12.46344	130.84564	Darwin
BLW	Alloteropsis	A.semialata	SouthAfrica	I	-29.71	29.96	1406
CAM1601	Alloteropsis	A.semialata	Cameroon	IV	5.927778	10.61833	1190
CRL	Alloteropsis	A.semialata	SouthAfrica	I	-25.74	30.24	1691
EML	Alloteropsis	A.semialata	SouthAfrica	I	-26.29	30	1771
GB61_2014	Alloteropsis	A.semialata	Madagascar	IV	-18.265879	47.17172732	1400
JKO01	Alloteropsis	A.semialata	Zambia	IIIb	-13.55	29.6675	1398
JKO02	Alloteropsis	A.semialata	Zambia	IIIa	-11.5433611111	29.1661388889	1136
JKO03	Alloteropsis	A.semialata	Zambia	IIIa	-11.5319166667	29.1436111111	1155
JKO04	Alloteropsis	A.semialata	Zambia	IIIa	-11.5227777778	29.1205555556	1163
JKO05	Alloteropsis	A.semialata	Zambia	IIIa	-11.5144722222	29.0937777778	1211
JKO06	Alloteropsis	A.semialata	Zambia	IIIa	-11.4495277778	29.01575	1287
JKO07	Alloteropsis	A.semialata	Zambia	IIIb	-11.3297777778	28.7944722222	1267
JKO08	Alloteropsis	A.semialata	Zambia	IIIa	-11.3398055556	28.6920555556	1226
JKO09	Alloteropsis	A.semialata	Zambia	IIIa	-11.4944444444	28.7828611111	1353
JKO10	Alloteropsis	A.semialata	Zambia	IIIb	-10.6853611111	29.1413888889	1248
JKO11	Alloteropsis	A.semialata	Zambia	IIIb	-10.2179166667	29.8591388889	1364
JKO12	Alloteropsis	A.semialata	Zambia	II	-10.3375	30.51725	1312
JKO13	Alloteropsis	A.semialata	Zambia	II	-10.3449722222	30.5133055556	1314
JKO16	Alloteropsis	A.semialata	Zambia	II	-9.5	31.9	point485
JKO22	Alloteropsis	A.semialata	Zambia	IIIb	-11.033	31.9634444444	1451
JKO23	Alloteropsis	A.semialata	Zambia	II	-11.0184166667	31.9523333333	1440
JKO24	Alloteropsis	A.semialata	Zambia	IIIb	-12.5840277778	31.015	1528
JKO25	Alloteropsis	A.semialata	Zambia	IIIb	-16.7031388889	27.3565	1248
JMS	Alloteropsis	A.semialata	SouthAfrica	I	-33.32	26.44	720
