order	pop	samp	phot	cp	mt	nt	comment	sample_C13	C13	C13_con	str
1	TAN16-03	TAN16-03-08	C4	FG	fg	IIIa	NA	TAN16-03-08	-12.35	C4	c007
2	TAN16-03	TAN16-03-143	C4	FG	fg	IIIa	NA	TAN16-03-143	-12.73	C4	c008
3	TAN16-03	TAN16-03-146	C4	FG	fg	IIIa	NA	TAN16-03-146	-13.46	C4	c009
4	TAN16-03	TAN16-03-151	C4	FG	fg	IIIa	NA	TAN16-03-151	-13.61	C4	c010
5	TAN16-04	TAN16-04-116	Int	BC	bc	II	NA	TAN16-04-116	-25.07	Non-C4	b020
6	TAN16-04	TAN16-04-92	Int	BC	bc	II	NA	TAN16-04-92	-23.6	Non-C4	b021
7	TAN16-04	TAN16-04-94	Int	BC	bc	II	NA	TAN16-04-94	-27.66	Non-C4	b022
8	TAN16-04	TAN16-04-96	Int	BC	bc	II	NA	TAN16-04-96	-25.54	Non-C4	b023
9	TAN16-04B	TAN16-04B-117	Int	BC	bc	II	NA	TAN16-04B-117	-25.34	Non-C4	b024
10	TAN16-04B	TAN16-04B-119	Int	BC	bc	II	NA	TAN16-04b-119	-25.99	Non-C4	b025
11	TAN16-04B	TAN16-04B-121	Int	BC	bc	II	NA	TAN16-04b-121	-23.97	Non-C4	b026
12	TAN16-04B	TAN16-04B-122	Int	BC	bc	II	NA	TAN16-04B-122	-22.84	Non-C4	b027
13	TAN16-04C	TAN16-04C-129	Int	BC	bc	II	NA	TAN16-04c-129	-23.93	Non-C4	b028
14	TAN16-04C	TAN16-04C-130	Int	BC	bc	II	NA	TAN16-04c-130	-26.88	Non-C4	b029
15	ZAM15-01	ZAM15-01-01	C4	E	fg	IIIb	NA	ZAM15-01-01	-12	C4	d040
16	ZAM15-01	ZAM15-01-03	C4	E	fg	IIIb	NA	ZAM15-01-03	-12.34	C4	d041
17	ZAM15-01	ZAM15-01-05	C4	E	fg	IIIb	NA	ZAM15-01-05	-12.77	C4	d042
18	ZAM15-01	ZAM15-01-07	C4	E	fg	IIIb	NA	ZAM15-01-07	-11.82	C4	d043
19	ZAM15-02	ZAM15-02-03	C4	E	fg	IIIb	NA	ZAM15-02-03	-11.6	C4	d046
20	ZAM15-02	ZAM15-02-05	C4	E	fg	IIIb	NA	ZAM15-02-05	-12.53	C4	d047
21	ZAM15-02	ZAM15-02-07	C4	E	fg	IIIb	NA	ZAM15-02-07	-12.7	C4	d048
22	ZAM15-02	ZAM15-02-09	C4	E	fg	IIIb	NA	ZAM15-02-09	-12.37	C4	d049
23	ZAM15-05a	ZAM15-05a-10	C4	FG	fg	IIIa	NA	ZAM15-05a-10	-11.59	C4	c063
24	ZAM15-05a	ZAM15-05a-15	C4	FG	fg	IIIa	NA	ZAM15-05a-15	-12.52	C4	c064
25	ZAM15-05a	ZAM15-05a-23	C4	FG	fg	IIIa	NA	ZAM15-05a-23	-12.26	C4	c065
26	ZAM15-05a	ZAM15-05a-39	C4	FG	fg	IIIa	NA	ZAM15-05a-39	-12.84	C4	c066
27	ZAM15-05b	ZAM15-05b-10	C4	FG	fg	IIIa	NA	ZAM15-05b-10	-12.81	C4	c067
28	ZAM15-05b	ZAM15-05b-35	C4	FG	fg	IIIa	NA	ZAM15-05b-35	-12.73	C4	c068
29	ZAM15-06	ZAM15-06-08	C4	E	fg	IIIb	NA	ZAM15-06-08	-11.77	C4	d060
30	ZAM15-06	ZAM15-06-09	C4	E	fg	IIIb	NA	ZAM15-06-09	-12.29	C4	d061
31	ZAM15-06	ZAM15-06-11	C4	E	fg	IIIb	NA	ZAM15-06-11	-12.71	C4	d062
32	ZAM15-06	ZAM15-06-28	C4	E	fg	IIIb	NA	ZAM15-06-28	-12.95	C4	d063
33	ZAM15-08	ZAM15-08-04	C4	E	fg	IIIb	NA	ZAM15-08-04	-13.4	C4	d072
34	ZAM15-08	ZAM15-08-06	C4	E	fg	IIIb	NA	ZAM15-08-06	-12.05	C4	d073
35	ZAM15-08	ZAM15-08-07	C4	E	fg	IIIb	NA	ZAM15-08-07	-12.4	C4	d074
36	ZAM15-08	ZAM15-08-11	C4	E	fg	IIIb	NA	ZAM15-08-11	-12.34	C4	d076
37	ZAM15-08	ZAM15-08-31	C4	E	fg	IIIb	NA	ZAM15-08-31	-11.18	C4	d077
38	ZAM15-09	ZAM15-09-05	C4	E	fg	IIIb	NA	ZAM15-09-05	-13.64	C4	d079
39	ZAM15-09	ZAM15-09-08	C4	E	fg	IIIb	NA	ZAM15-09-08	-12.5	C4	d080
40	ZAM15-09	ZAM15-09-09	C4	E	fg	IIIb	NA	ZAM15-09-09	-11.82	C4	d081
41	ZAM15-09	ZAM15-09-11	C4	E	fg	IIIb	NA	ZAM15-09-11	-12.59	C4	d082
42	ZAM15-09	ZAM15-09-15	C4	E	fg	IIIb	NA	ZAM15-09-15	-13.16	C4	d083
43	ZAM15-10	ZAM15-10-12	C4	E	fg	IIIb	NA	ZAM15-10-12	-13.78	C4	d084
44	ZAM15-10	ZAM15-10-18	C4	E	fg	IIIb	NA	ZAM15-10-18	-14.27	C4	d085
45	ZAM15-10	ZAM15-10-24	C4	E	fg	IIIb	NA	ZAM15-10-24	-12.25	C4	d086
46	ZAM15-10	ZAM15-10-31	C4	E	fg	IIIb	NA	ZAM15-10-31	-13.24	C4	d087
47	ZAM15-10	ZAM15-10-34	C4	E	fg	IIIb	NA	ZAM15-10-34	-12.32	C4	d088
48	ZAM15-10	ZAM15-10-36	C4	E	fg	IIIb	NA	ZAM15-10-36	-11.39	C4	d089
49	ZAM15-10	ZAM15-10-41	C4	E	fg	IIIb	NA	ZAM15-10-41	-12.25	C4	d090
50	ZAM15-10	ZAM15-10-45	C4	E	fg	IIIb	NA	ZAM15-10-45	-11.17	C4	d091
51	ZAM15-10	ZAM15-10-47	C4	E	fg	IIIb	NA	ZAM15-10-47	-11.71	C4	d092
52	ZAM15-10	ZAM15-10-48	C4	E	fg	IIIb	NA	ZAM15-10-48	-10.53	C4	d093
53	ZAM15-10	ZAM15-10-53	C4	E	fg	IIIb	NA	ZAM15-10-53	-11.8	C4	d094
54	ZAM15-10	ZAM15-10-54	C4	E	fg	IIIb	NA	ZAM15-10-54	-11.22	C4	d095
55	ZAM15-10	ZAM15-10-56	C4	E	fg	IIIb	NA	ZAM15-10-56	-12.26	C4	d096
56	ZAM15-10	ZAM15-10-62	C4	E	fg	IIIb	NA	ZAM15-10-62	-11.86	C4	d097
57	ZAM15-10	ZAM15-10-63	C4	E	fg	IIIb	NA	ZAM15-10-63	-12.54	C4	d098
58	ZAM15-B	ZAM15-B-01	C4	E	fg	IIIb	NA	ZAM15-B-01	-11.86	C4	d099
59	ZAM15-B	ZAM15-B-02	C4	E	fg	IIIb	NA	ZAM15-B-02	-12.13	C4	d100
60	ZAM15-B	ZAM15-B-03	C4	E	fg	IIIb	NA	ZAM15-B-03	-12.08	C4	d101
61	ZAM15-B	ZAM15-B-04	C4	E	fg	IIIb	NA	ZAM15-B-04	-11.97	C4	d102
62	ZAM15-B	ZAM15-B-05	C4	E	fg	IIIb	NA	ZAM15-B-05	-12.8	C4	d103
63	ZIM15-02	ZIM15-02-01	C3	A	a	I	NA	ZIM15-02-01	NA	NA	a055
64	ZIM15-02	ZIM15-02-03	C3	A	a	I	NA	ZIM15-02-03	-25.65	Non-C4	a056
65	ZIM15-02	ZIM15-02-05	C3	A	a	I	NA	ZIM15-02-05	-26.95	Non-C4	a057
66	ZIM15-02	ZIM15-02-09	C3	A	a	I	NA	ZIM15-02-09	-28.33	Non-C4	a058
67	JMS	JMS-1	C3	A	a	I	NA	JMS-1	-26.82	Non-C4	a001
68	JMS	JMS-2	C3	A	a	I	NA	JMS-2	-28.3	Non-C4	a002
69	JMS	JMS-3	C3	A	a	I	NA	JMS-3	-25.23	Non-C4	a003
70	JMS	JMS-4	C3	A	a	I	NA	JMS-4	-26.83	Non-C4	a004
71	JMS	JMS-5	C3	A	a	I	NA	JMS-5	-26.99	Non-C4	a005
72	MSV195	MSV195_13	C4	D	d	IV	NA	MSV1935_13	-11.99	C4	e018
73	MSV195	MSV195_19	C4	D	d	IV	NA	MSV1935_19	-11.61	C4	e019
74	MSV195	MSV195_1	C4	D	d	IV	NA	MSV195_1	-11.1	C4	e022
75	MSV195	MSV195_25	C4	D	d	IV	NA	MSV1935_25	-12.39	C4	e020
76	MSV195	MSV195_7	C4	D	d	IV	NA	MSV1935_7	-11.75	C4	e021
77	MSV2081	MSV2081_1	C4	D	d	IV	NA	MSV2081-1	-13.02	C4	e027
78	MSV2081	MSV2081_3	C4	D	d	IV	NA	MSV2081_3	-11.75	C4	e023
79	MSV2081	MSV2081_5	C4	D	d	IV	NA	MSV2081_5	-12.89	C4	e024
80	MSV2081	MSV2081_6	C4	D	d	IV	NA	MSV2081_6	-13.13	C4	e025
81	MSV2081	MSV2081_7	C4	D	d	IV	NA	MSV2081_7	-12.4	C4	e026
82	MSV2937	MSV2937_11	C4	D	d	IV	NA	MSV2937_11	-11.87	C4	e029
83	MSV2937	MSV2937_16	C4	D	d	IV	NA	MSV2937_16	-12.17	C4	e030
84	MSV2937	MSV2937_1	C4	D	d	IV	NA	MSV2937_1	-12.01	C4	e028
85	MSV2937	MSV2937_20	C4	D	d	IV	NA	MSV2937_20	-11.91	C4	e031
86	MSV2937	MSV2937_6	C4	D	d	IV	NA	MSV2937_6	-12.15	C4	e032
87	TS-A	TS-A-02	C4	E	fg	IIIb	NA	TS-A-02	-12.21	C4	d025
88	TS-A	TS-A-03	C4	E	fg	IIIb	NA	TS-A-03	-11.96	C4	d026
89	TS-D	TS-D-01	C4	FG	fg	IIIa	NA	TS-D-01	-11.53	C4	c044
90	TS-D	TS-D-02	C4	FG	fg	IIIa	NA	TS-D-02	-11.7	C4	c045
91	TS-D	TS-D-03	C4	FG	fg	IIIa	NA	TS-D-03	-11.39	C4	c046
92	TS-F	TS-F-02	C4	E	fg	IIIb	NA	TS-F-02	-11.98	C4	d033
93	TS-F	TS-F-03	C4	E	fg	IIIb	NA	TS-F-03	-13.61	C4	d034
94	TS-J	TS-J-01	C4	E	fg	IIIb	NA	TS-J-01	-13.3	C4	d035
95	TS-J	TS-J-02	C4	E	fg	IIIb	NA	TS-J-02	-13.13	C4	d036
96	TS-J	TS-J-03	C4	E	fg	IIIb	NA	TS-J-03	-11.92	C4	d037
97	ASM	ASM-1	C3	A	a	I	NA	ASM-1	-26.37	Non-C4	a044
98	ASM	ASM-2	C3	A	a	I	NA	ASM-2	-26.35	Non-C4	a045
99	ASM	ASM-3	C3	A	a	I	NA	ASM-3	-28.11	Non-C4	a046
100	ASM	ASM-4	C3	A	a	I	NA	ASM-4	-26.73	Non-C4	a047
101	TAN16-04	TAN16-04-101	Int	BC	bc	II	NA	TAN16-04-101	-26.12	Non-C4	b019
102	BLW	BLW-3	C3	A	a	I	NA	BLW-3	-28.01	Non-C4	a012
103	BLW	BLW-4	C3	A	a	I	NA	BLW-4	-26.73	Non-C4	a013
104	BLW	BLW-5	C3	A	a	I	NA	BLW-5	-26.19	Non-C4	a014
105	BLW	BLW-6	C3	A	a	I	NA	BLW-6	-27	Non-C4	a015
106	CRL	CRL-1	C3	A	a	I	NA	CRL-1	-26.65	Non-C4	a035
107	CRL	CRL-2	C3	A	a	I	NA	CRL-2	-29.79	Non-C4	a036
108	CRL	CRL-3	C3	A	a	I	NA	CRL-3	-27.27	Non-C4	a037
109	CRL	CRL-4	C3	A	a	I	NA	CRL-4	-27.33	Non-C4	a038
110	CRL	CRL-5	C3	A	a	I	NA	CRL-5	-24.81	Non-C4	a039
111	EML	EML-10	C3	A	a	I	NA	EML-10	-28.25	Non-C4	a027
112	EML	EML-11	C3	A	a	I	NA	EML-11	-27.3	Non-C4	a028
113	EML	EML-1	C3	A	a	I	NA	EML-1	-26.38	Non-C4	a026
114	EML	EML-2	C3	A	a	I	NA	EML-2	-26.25	Non-C4	a029
115	EML	EML-3	C3	A	a	I	NA	EML-3	-27.94	Non-C4	a030
116	KSD	KSD-1	C3	A	a	I	NA	KSD-1	-27.5	Non-C4	a010
117	KSD	KSD-5	C3	A	a	I	NA	KSD-5	-27.16	Non-C4	a011
118	KWT	KWT-1	C3	A	a	I	NA	KWT-1	-26.26	Non-C4	a006
119	KWT	KWT-2	C3	A	a	I	NA	KWT-2	-26.33	Non-C4	a007
120	KWT	KWT-3	C3	A	a	I	NA	KWT-3	-27.1	Non-C4	a008
121	KWT	KWT-4	C3	A	a	I	NA	KWT-4	-27	Non-C4	a009
122	TAN16-03	L02j	C4	FG	fg	IIIa	NA	L02J	-12.17	C4	c001
123	TAN16-03	L02k	C4	FG	fg	IIIa	NA	L02K	-12.82	C4	c002
124	TAN16-03	L02p	C4	FG	fg	IIIa	NA	L02P	-13.05	C4	c003
125	L04	L04A	Int	BC	bc	II	NA	L04 A	-23.1	Non-C4	b001
126	LSU	LSU-2	C3	A	a	I	NA	LSU-2	-29.21	Non-C4	a048
127	LSU	LSU-3	C3	A	a	I	NA	LSU-3	-26.22	Non-C4	a049
128	LSU	LSU-4	C3	A	a	I	NA	LSU-4	-25.69	Non-C4	a050
129	LSU	LSU-5	C3	A	a	I	NA	LSU-5	-26.59	Non-C4	a051
130	MTP	MTP-1	C3	A	a	I	NA	MTP-1	-26.67	Non-C4	a040
131	MTP	MTP-2	C3	A	a	I	NA	MTP-2	-25.05	Non-C4	a041
132	MTP	MTP-3	C3	A	a	I	NA	MTP-3	-26.13	Non-C4	a042
133	MTP	MTP-5	C3	A	a	I	NA	MTP-5	-26.02	Non-C4	a043
134	PAC	PAC1c	Int	BC	bc	II	NA	PAC1c	-26.97	Non-C4	b011
135	PAC	PAC1d	Int	BC	bc	II	NA	PAC1d	-29.03	Non-C4	b012
136	PAC	PAC1e	Int	BC	bc	II	NA	PAC1e	-24.68	Non-C4	b013
137	PGR	PGR-1	C3	A	a	I	NA	PGR-1	-27.53	Non-C4	a052
138	PGR	PGR-2	C3	A	a	I	NA	PGR-2	-27.29	Non-C4	a053
139	PGR	PGR-3	C3	A	a	I	NA	PGR-3	-25.16	Non-C4	a054
140	SNR	SNR-1	C3	A	a	I	NA	SNR-1	-27.76	Non-C4	a016
141	SNR	SNR-2	C3	A	a	I	NA	SNR-2	-26.71	Non-C4	a017
142	SNR	SNR-3	C3	A	a	I	NA	SNR-3	-23.76	Non-C4	a018
143	SNR	SNR-4	C3	A	a	I	NA	SNR-4	-26.88	Non-C4	a019
144	SNR	SNR-5	C3	A	a	I	NA	SNR-5	-25.76	Non-C4	a020
145	TS-B	TS-B-01	C4	E	fg	IIIb	NA	TS-B-01	-11.34	C4	d027
146	TS-B	TS-B-02	C4	E	fg	IIIb	NA	TS-B-02	-12.4	C4	d028
147	TS-B	TS-B-03	C4	E	fg	IIIb	NA	TS-B-03	-12.11	C4	d029
148	TS-C	TS-C-01	C4	E	fg	IIIb	NA	TS-C-01	-12.23	C4	d030
149	TS-C	TS-C-02	C4	E	fg	IIIb	NA	TS-C-02	-11.97	C4	d031
150	TS-C	TS-C-03	C4	E	fg	IIIb	NA	TS-C-03	-13.28	C4	d032
151	TS-E	TS-E-01	C4	FG	fg	IIIa	NA	TS-E-01	-12.11	C4	c047
152	TS-E	TS-E-02	C4	FG	fg	IIIa	NA	TS-E-02	-13.77	C4	c048
153	TS-E	TS-E-03	C4	FG	fg	IIIa	NA	TS-E-03	-12.28	C4	c049
154	TS-G	TS-G-04	C4	FG	fg	IIIa	NA	TS-G-04	-12.74	C4	c050
155	TS-G	TS-G-05	C4	FG	fg	IIIa	NA	TS-G-05	-11.44	C4	c051
156	TS-G	TS-G-06	C4	FG	fg	IIIa	NA	TS-G-06	-13.82	C4	c052
157	TS-H	TS-H-02	C4	FG	fg	IIIa	NA	TS-H-02	-12.74	C4	c053
158	TS-H	TS-H-04	C4	FG	fg	IIIa	NA	TS-H-04	-12.84	C4	c054
159	TS-H	TS-H-05	C4	FG	fg	IIIa	NA	TS-H-05	-12.76	C4	c055
160	TS-I	TS-I-02	C4	FG	fg	IIIa	NA	TS-I-02	-11.71	C4	c056
161	TS-I	TS-I-04	C4	FG	fg	IIIa	NA	TS-I-04	-11.81	C4	c057
162	TS-K	TS-K-01	C4	E	fg	IIIb	NA	TS-K-01	-11.25	C4	d038
163	TS-K	TS-K-03	C4	E	fg	IIIb	NA	TS-K-03	-11.55	C4	d039
164	AUS16-04	AUS16-04-02	C4	D	d	IV	NA	AUS16-04-02	-12.6	C4	e065
165	AUS16-04	AUS16-04-03	C4	D	d	IV	NA	AUS16-04-03	-12.34	C4	e066
166	AUS16-16	AUS16-16-03	C4	D	d	IV	NA	AUS16-16-03	-12.82	C4	e067
167	AUS16-16	AUS16-16-04	C4	D	d	IV	NA	AUS16-16-04	-13.32	C4	e068
168	AUS16-33	AUS16-33-02	C4	D	d	IV	NA	AUS16-33-02	-12.92	C4	e063
169	AUS16-33	AUS16-33-03	C4	D	d	IV	NA	AUS16-33-03	-12.35	C4	e064
170	JKO-01	JKO-01-1	C4	E	fg	IIIb	NA	JKO-01-1	-11.77	C4	d001
171	JKO-01	JKO-01-3	C4	E	fg	IIIb	NA	JKO-01-3	-11.67	C4	d002
172	JKO-02	JKO-02-01	C4	FG	fg	IIIa	NA	JKO-02-01	-12.23	C4	c011
173	JKO-02	JKO-02-02	C4	FG	fg	IIIa	NA	JKO-02-02	-11.69	C4	c012
174	JKO-02	JKO-02-03	C4	FG	fg	IIIa	NA	JKO-02-03	-14.74	C4	c013
175	JKO-02	JKO-02-04	C4	FG	fg	IIIa	NA	JKO-02-04	-11.78	C4	c014
176	JKO-02	JKO-02-05	C4	FG	fg	IIIa	NA	JKO-02-05	-19.2	Non-C4	c015
177	JKO-03	JKO-03-01	C4	FG	fg	IIIa	NA	JKO-03-01	-13.18	C4	c016
178	JKO-03	JKO-03-02	C4	FG	fg	IIIa	NA	JKO-03-02	-14.64	C4	c017
179	JKO-03	JKO-03-04	C4	FG	fg	IIIa	NA	JKO-03-04	-12.88	C4	c018
180	JKO-04	JKO-04-01	C4	FG	fg	IIIa	NA	JKO-04-01	-14.45	C4	c019
181	JKO-04	JKO-04-02	C4	FG	fg	IIIa	NA	JKO-04-02	-13.58	C4	c020
182	JKO-04	JKO-04-03	C4	FG	fg	IIIa	NA	JKO-04-03	-14.14	C4	c021
183	JKO-04	JKO-04-04	C4	FG	fg	IIIa	NA	JKO-04-04	-12.4	C4	c022
184	JKO-04	JKO-04-05	C4	FG	fg	IIIa	NA	JKO-04-05	-12.73	C4	c023
185	JKO-05	JKO-05-01	C4	FG	fg	IIIa	NA	JKO-05-01	-12.2	C4	c024
186	JKO-05	JKO-05-02	C4	FG	fg	IIIa	NA	JKO-05-02	-14.32	C4	c025
187	JKO-05	JKO-05-03	C4	FG	fg	IIIa	NA	JKO-05-03	-12.78	C4	c026
188	JKO-05	JKO-05-04	C4	FG	fg	IIIa	NA	JKO-05-04	-13.32	C4	c027
189	JKO-05	JKO-05-05	C4	FG	fg	IIIa	NA	JKO-05-05	-16.46	C4	c028
190	JKO-06	JKO-06-01	C4	FG	fg	IIIa	NA	JKO-06-01	-13.16	C4	c029
191	JKO-06	JKO-06-02	C4	FG	fg	IIIa	NA	JKO-06-02	-13.24	C4	c030
192	JKO-06	JKO-06-03	C4	FG	fg	IIIa	NA	JKO-06-03	-13.92	C4	c031
193	JKO-06	JKO-06-04	C4	FG	fg	IIIa	NA	JKO-06-04	-14.5	C4	c032
194	JKO-06	JKO-06-05	C4	FG	fg	IIIa	NA	JKO-06-05	-13.16	C4	c033
195	MOZ16-01	MOZ16-01-06	C4	E	e	IV	NA	MOZ16-01-06	-12.92	C4	e010
196	MOZ16-01	MOZ16-01-10	C4	E	e	IV	NA	MOZ16-01-10	-12.83	C4	e011
197	MOZ16-01	MOZ16-01-12	C4	E	e	IV	NA	MOZ16-01-12	-12.87	C4	e012
198	MOZ16-01	MOZ16-01-14	C4	E	e	IV	NA	MOZ16-01-14	-12.66	C4	e013
199	NOP2016	NOP2016_1	C4	D	d	IV	NA	NOP2016_1	-12.46	C4	e033
200	NOP2016	NOP2016_2	C4	D	d	IV	NA	NOP2016_2	-12.2	C4	e034
201	NOP2016	NOP2016_3	C4	D	d	IV	NA	NOP2016_3	-12.25	C4	e035
202	NOP2016	NOP2016_4	C4	D	d	IV	NA	NOP2016_4	-12.49	C4	e036
203	NOP2016	NOP2016_5	C4	D	d	IV	NA	NOP2016_5	-12.75	C4	e037
204	ZAM17-01	ZAM17-01-01	C4	FG	fg	IIIa	NA	ZAM17-01-01	-12.98	C4	c069
205	ZAM17-01	ZAM17-01-02	C4	FG	fg	IIIa	NA	ZAM17-01-02	-15.47	C4	c070
206	ZAM17-01	ZAM17-01-03	C4	FG	fg	IIIa	NA	ZAM17-01-03	-13.29	C4	c071
207	ZAM17-01	ZAM17-01-04	C4	FG	fg	IIIa	NA	ZAM17-01-04	-12.67	C4	c072
208	ZAM17-01	ZAM17-01-05	C4	FG	fg	IIIa	NA	ZAM17-01-05	-13.09	C4	c073
209	ZAM17-04	ZAM17-04-01	C4	E	fg	IIIb	NA	ZAM17-04-01	-12.17	C4	d104
210	ZAM17-04	ZAM17-04-02	C4	E	fg	IIIb	NA	ZAM17-04-02	-13.27	C4	d105
211	ZAM17-04	ZAM17-04-03	C4	E	fg	IIIb	NA	ZAM17-04-03	-12.8	C4	d106
212	ZAM17-04	ZAM17-04-04	C4	E	fg	IIIb	NA	ZAM17-04-04	-14.76	C4	d107
213	ZAM17-04	ZAM17-04-05	C4	E	fg	IIIb	NA	ZAM17-04-05	-13.19	C4	d108
214	ZAM17-05	ZAM17-05-01	Int	BC	bc	II	NA	ZAM17-05-01	-21.57	Non-C4	b041
215	ZAM17-05	ZAM17-05-03	Int	BC	bc	II	NA	ZAM17-05-03	-21.78	Non-C4	b042
216	ZAM17-05	ZAM17-05-04	Int	BC	bc	II	NA	ZAM17-05-04	-21.65	Non-C4	b043
217	ZAM17-06	ZAM17-06-01	C4	FG	fg	IIIa	NA	ZAM17-06-01	-13.18	C4	c074
218	ZAM17-06	ZAM17-06-02	C4	FG	fg	IIIa	NA	ZAM17-06-02	-13.09	C4	c075
219	ZAM17-06	ZAM17-06-03	C4	FG	fg	IIIa	NA	ZAM17-06-03	-13.09	C4	c076
220	ZAM17-06	ZAM17-06-04	C4	FG	fg	IIIa	NA	ZAM17-06-04	-11.96	C4	c077
221	ZAM17-06	ZAM17-06-05	C4	FG	fg	IIIa	NA	ZAM17-06-05	-13.87	C4	c078
222	ZAM17-07	ZAM17-07-01	C4	FG	fg	IIIa	NA	ZAM17-07-01	-12.87	C4	c079
223	ZAM17-07	ZAM17-07-03	C4	FG	fg	IIIa	NA	ZAM17-07-03	-12.29	C4	c080
224	ZAM17-07	ZAM17-07-04	C4	FG	fg	IIIa	NA	ZAM17-07-04	-13.13	C4	c081
225	ZAM17-07	ZAM17-07-05	C4	FG	fg	IIIa	NA	ZAM17-07-05	-13.39	C4	c082
226	ZAM17-08	ZAM17-08-01	C4	FG	fg	IIIa	NA	ZAM17-08-01	-11.39	C4	c083
227	ZAM17-08	ZAM17-08-02	C4	FG	fg	IIIa	NA	ZAM17-08-02	-12.03	C4	c084
228	ZAM17-08	ZAM17-08-03	C4	FG	fg	IIIa	NA	ZAM17-08-03	-11.37	C4	c085
229	ZAM17-08	ZAM17-08-04	C4	FG	fg	IIIa	NA	ZAM17-08-04	-11.47	C4	c086
230	ZAM17-09	ZAM17-09-01	C4	E	fg	IIIb	NA	ZAM17-09-01	-10.97	C4	d109
231	ZAM17-09	ZAM17-09-02	C4	E	fg	IIIb	NA	ZAM17-09-02	-13.2	C4	d110
232	ZAM17-09	ZAM17-09-03	C4	E	fg	IIIb	NA	ZAM17-09-03	-15.11	C4	d111
