Homologs	Photosynthesis	Gene	Branch	Chr	Start	Stop	Mid	color
ASEM_C4_01567	C4-core	nadmdh-4P7	NA	Chromosome_1	546578	547321	546949.5	red
ASEM_C4_01568	C4-core	nadmdh-4P7	NA	Chromosome_1	567348	568424	567886	red
NA	NA	NA	F	Chromosome_1	739723	747011	743367	green
NA	NA	NA	E	Chromosome_1	3862756	3863608	3863182	green
NA	NA	NA	B	Chromosome_1	6035186	6036625	6035905.5	green
ASEM_C4_07729	C4-related	pgk-1P1	NA	Chromosome_1	6758209	6762496	6760352.5	red
ASEM_C4_07734	Photorespiration	gdh-1P1	NA	Chromosome_1	6817801	6819135	6818468	red
ASEM_C4_25127	C4-related	gapdh-1P1	NA	Chromosome_1	7463942	7468823	7466382.5	red
ASEM_C4_25121	C4-related	gapdh-1P1	NA	Chromosome_1	7477982	7482916	7480449	red
NA	NA	NA	B	Chromosome_1	9848570	9850169	9849369.5	green
NA	NA	NA	K	Chromosome_1	13686757	13689719	13688238	green
ASEM_C4_36860	C4-core	aspat-1P1	NA	Chromosome_1	15065716	15070756	15068236	red
NA	NA	NA	F	Chromosome_1	15563302	15564465	15563883.5	green
NA	NA	NA	F	Chromosome_1	15925980	15927407	15926693.5	green
ASEM_C4_23280	C4-core	ppc-1P4	NA	Chromosome_1	16122031	16128974	16125502.5	red
NA	NA	NA	E	Chromosome_1	18150286	18153671	18151978.5	green
ASEM_C4_28141	C4-related	dic-2P2	NA	Chromosome_1	18389412	18395197	18392304.5	red
ASEM_C4_29047	C4-related	gapdh-2P3	NA	Chromosome_1	19777509	19783191	19780350	red
NA	NA	NA	B	Chromosome_1	27075219	27079784	27077501.5	green
NA	NA	NA	B	Chromosome_1	30710719	30715581	30713150	green
NA	NA	NA	B	Chromosome_1	30740308	30741591	30740949.5	green
NA	NA	NA	B	Chromosome_1	31932490	31946402	31939446	green
ASEM_C4_34042	C4-related	gapdh-2P3	NA	Chromosome_1	46133396	46136896	46135146	red
NA	NA	NA	F	Chromosome_1	46258441	46267024	46262732.5	green
NA	NA	NA	K	Chromosome_1	48888524	48888961	48888742.5	green
NA	NA	NA	B	Chromosome_1	53566975	53568286	53567630.5	green
ASEM_C4_17274	C4-related	pk-1P1	NA	Chromosome_1	53689623	53691565	53690594	red
ASEM_C4_28831	C4-related	gapdh-2P3	NA	Chromosome_1	56618271	56621573	56619922	red
NA	NA	NA	E,F	Chromosome_1	57859924	57861020	57860472	green
ASEM_C4_35620	C4-related	pepc-k-1P1	NA	Chromosome_1	60120912	60131200	60126056	red
NA	NA	NA	F	Chromosome_1	63918068	63921753	63919910.5	green
ASEM_C4_19979	C4-related	ppa-2P1.2	NA	Chromosome_1	65648887	65653399	65651143	red
NA	NA	NA	E	Chromosome_1	66326223	66329193	66327708	green
NA	NA	NA	F	Chromosome_1	67362246	67364921	67363583.5	green
NA	NA	NA	B	Chromosome_1	68847422	68855108	68851265	green
NA	NA	NA	K	Chromosome_1	68868142	68869386	68868764	green
NA	NA	NA	E	Chromosome_1	69291764	69297411	69294587.5	green
NA	NA	NA	I	Chromosome_1	70536363	70538066	70537214.5	green
NA	NA	NA	F	Chromosome_1	71767397	71771063	71769230	green
NA	NA	NA	E	Chromosome_1	73272480	73273607	73273043.5	green
ASEM_C4_28041	C4-core	aspat-2P3	NA	Chromosome_1	73950862	73954797	73952829.5	red
NA	NA	NA	E	Chromosome_1	74377568	74380386	74378977	green
ASEM_C4_38337	C4-related	pepc-k-1P3	NA	Chromosome_1	74588590	74592086	74590338	red
ASEM_C4_13614	Photorespiration	gr-2P6	NA	Chromosome_1	74839028	74849785	74844406.5	red
NA	NA	NA	B	Chromosome_2	37691	42591	40141	green
NA	NA	NA	E	Chromosome_2	1611769	1614447	1613108	green
NA	NA	NA	B	Chromosome_2	4217647	4218294	4217970.5	green
ASEM_C4_25602	C4-core	nadmdh-1P8	NA	Chromosome_2	5473463	5474632	5474047.5	red
NA	NA	NA	E	Chromosome_2	5657202	5661883	5659542.5	green
ASEM_C4_22383	C4-core	alaat-1P2	NA	Chromosome_2	7141452	7146617	7144034.5	red
NA	NA	NA	E	Chromosome_2	7207716	7210090	7208903	green
NA	NA	NA	E	Chromosome_2	7266441	7270224	7268332.5	green
ASEM_C4_31294	C4-related	sbas-4P4	NA	Chromosome_2	7596915	7601068	7598991.5	red
ASEM_C4_31293	C4-related	sbas-4P4	NA	Chromosome_2	7617582	7620275	7618928.5	red
NA	NA	NA	B	Chromosome_2	7958929	7965168	7962048.5	green
NA	NA	NA	F	Chromosome_2	12316598	12318786	12317692	green
ASEM_C4_36092	C4-related	gpt-1P7	NA	Chromosome_2	12584690	12587088	12585889	red
ASEM_C4_16982	C4-core	nadme-1P1	NA	Chromosome_2	14089387	14097204	14093295.5	red
NA	NA	NA	K	Chromosome_2	18574001	18579830	18576915.5	green
ASEM_C4_12098	C4-related	sbas-4P4	NA	Chromosome_2	19404219	19405706	19404962.5	red
NA	NA	NA	E	Chromosome_2	19686254	19686928	19686591	green
NA	NA	NA	E	Chromosome_2	21808660	21810986	21809823	green
ASEM_C4_34610	C4-related	tdt-1P2	NA	Chromosome_2	22943919	22947248	22945583.5	red
ASEM_C4_13586	C4-related	dit-2P3	NA	Chromosome_2	24489545	24494553	24492049	red
ASEM_C4_09120	C4-related	pepc-k-2P4	NA	Chromosome_2	24845850	24849692	24847771	red
ASEM_C4_22755	C4-core	ßca-1P1	NA	Chromosome_2	25110851	25115957	25113404	red
ASEM_C4_39888	C4-core	alaat-1P1	NA	Chromosome_2	27889252	27893902	27891577	red
NA	NA	NA	E	Chromosome_2	29425891	29428724	29427307.5	green
NA	NA	NA	E	Chromosome_2	29965440	29974013	29969726.5	green
NA	NA	NA	K	Chromosome_2	35665655	35670332	35667993.5	green
ASEM_C4_15351	C4-core	ppc-1P5	NA	Chromosome_2	38047748	38056133	38051940.5	red
ASEM_C4_18481	C4-related	ppt-1P6	NA	Chromosome_2	40008049	40012159	40010104	red
NA	NA	NA	B	Chromosome_2	44168967	44181442	44175204.5	green
ASEM_C4_05465	Photorespiration	pglp-1P1	NA	Chromosome_2	45569264	45574078	45571671	red
ASEM_C4_13115	C4-related	nhd-1P1	NA	Chromosome_2	54167096	54177014	54172055	red
ASEM_C4_29275	C4-core	nadpmdh-2P2	NA	Chromosome_2	56001146	56004317	56002731.5	red
ASEM_C4_29268	C4-core	nadpmdh-2P2	NA	Chromosome_2	56023089	56027131	56025110	red
ASEM_C4_29274	C4-core	nadpmdh-2P2	NA	Chromosome_2	56026465	56027105	56026785	red
NA	NA	NA	E	Chromosome_2	57548990	57552729	57550859.5	green
NA	NA	NA	K	Chromosome_2	66266873	66271966	66269419.5	green
NA	NA	NA	B	Chromosome_2	68087701	68089747	68088724	green
NA	NA	NA	K	Chromosome_2	69244337	69246779	69245558	green
NA	NA	NA	F	Chromosome_2	73086345	73093674	73090009.5	green
NA	NA	NA	B	Chromosome_2	77261787	77264955	77263371	green
NA	NA	NA	E	Chromosome_2	80251526	80252527	80252026.5	green
NA	NA	NA	I	Chromosome_2	80559637	80562876	80561256.5	green
ASEM_C4_30871	Photorespiration	glo-1P1	NA	Chromosome_2	81061331	81064912	81063121.5	red
NA	NA	NA	E	Chromosome_2	81160923	81164108	81162515.5	green
ASEM_C4_33311	Photorespiration	ggat-1P6	NA	Chromosome_2	87506592	87515996	87511294	red
ASEM_C4_33311	Photorespiration	gldp-1P1	NA	Chromosome_2	87506592	87515996	87511294	red
NA	NA	NA	B	Chromosome_3	1378542	1379051	1378796.5	green
ASEM_C4_26986	C4-core	nadmdh-3P6	NA	Chromosome_3	1876847	1888077	1882462	red
NA	NA	NA	E	Chromosome_3	5543513	5551555	5547534	green
NA	NA	NA	K	Chromosome_3	10265054	10267772	10266413	green
NA	NA	NA	I	Chromosome_3	11211048	11212100	11211574	green
NA	NA	NA	B	Chromosome_3	12010475	12023730	12017102.5	green
ASEM_C4_30102	C4-related	dit-1P1	NA	Chromosome_3	12611159	12614871	12613015	red
ASEM_C4_30103	C4-related	dit-1P1	NA	Chromosome_3	12647373	12660067	12653720	red
NA	NA	NA	B	Chromosome_3	13188271	13188582	13188426.5	green
ASEM_C4_04947	Photorespiration	shm-3P3	NA	Chromosome_3	31766646	31770762	31768704	red
NA	NA	NA	B	Chromosome_3	45724383	45727552	45725967.5	green
NA	NA	NA	K	Chromosome_3	52894439	52895146	52894792.5	green
NA	NA	NA	K	Chromosome_3	54188794	54196099	54192446.5	green
NA	NA	NA	B	Chromosome_3	54434822	54437329	54436075.5	green
ASEM_C4_39556	C4-core	ppdk-1P2	I	Chromosome_3	56328887	56349433	56339160	red
NA	NA	NA	K	Chromosome_3	56744279	56748272	56746275.5	green
ASEM_C4_01056	C4-related	ppa-4P1.5	NA	Chromosome_3	59403785	59405482	59404633.5	red
ASEM_C4_16319	C4-core	nadmdh-2P3	NA	Chromosome_3	65171020	65175521	65173270.5	red
NA	NA	NA	F	Chromosome_3	65289003	65292948	65290975.5	green
NA	NA	NA	F	Chromosome_3	66924858	66929679	66927268.5	green
NA	NA	NA	B	Chromosome_3	67223379	67227167	67225273	green
ASEM_C4_16466	C4-core	nadpme-1P3	NA	Chromosome_3	68156010	68159777	68157893.5	red
ASEM_C4_38166	C4-related	ppt-1P4	NA	Chromosome_3	69118450	69121911	69120180.5	red
ASEM_C4_29846	Photorespiration	lpd-1P1	NA	Chromosome_3	70071850	70075925	70073887.5	red
ASEM_C4_44905	Photorespiration	lpd-2P3.2	NA	Chromosome_3	70433310	70440241	70436775.5	red
NA	NA	NA	E	Chromosome_3	72288360	72296458	72292409	green
ASEM_C4_12552	C4-related	pgk-2P3.2	NA	Chromosome_3	73324641	73328127	73326384	red
NA	NA	NA	E	Chromosome_3	74036792	74042493	74039642.5	green
NA	NA	NA	B	Chromosome_3	75285547	75286511	75286029	green
ASEM_C4_19520	C4-related	dic-1P1	NA	Chromosome_3	78028756	78032805	78030780.5	red
